,city,country,Salario_Medio,Continent,sub-region,Alimentacao_Basica,Transp_Publico,Transp_Privado,Moradia_CentroCidade,Moradia_ForaCentroCidade,Final_de_Semana,CV1_1,CV1_2,CV2_1,CV2_2
26,Ahmedabad,India,433.96,Asia,Southern Asia,35.3,6.14,475.65,512.96,444.77,117.23,1141.14,671.6300000000001,1072.95,603.4399999999999
27,Pune,India,803.85,Asia,Southern Asia,34.74,11.05,396.76000000000005,267.96,182.89999999999998,104.16000000000003,803.6200000000001,417.91,718.5600000000002,332.85
28,Surat,India,331.61,Asia,Southern Asia,37.03,4.3,415.95,269.26,277.5,80.48,802.72,391.07,810.96,399.31
29,Lucknow,India,569.74,Asia,Southern Asia,33.35,12.28,459.39,185.2,140.37,80.08000000000001,758.0200000000001,310.90999999999997,713.19,266.08000000000004
30,Jaipur,India,447.36,Asia,Southern Asia,32.9,7.37,514.97,203.46,146.56,79.38999999999999,830.72,323.12,773.82,266.21999999999997
31,Nagpur,India,499.46,Asia,Southern Asia,33.38,8.6,344.39,133.66,105.00999999999999,104.15,615.5799999999999,279.78999999999996,586.93,251.14000000000001
32,Vadodara,India,354.12,Asia,Southern Asia,31.150000000000002,6.14,389.16,152.0,124.22,109.82,682.1299999999999,299.11,654.3499999999999,271.33
33,Vishakhapatnam,India,552.68,Asia,Southern Asia,37.260000000000005,8.9,497.51,352.34,269.49,84.25999999999998,971.3699999999999,482.76,888.52,399.91
34,Indore,India,526.07,Asia,Southern Asia,35.53,6.14,325.73,170.83,115.56,80.27,612.36,292.77,557.09,237.5
35,Thane,India,521.97,Asia,Southern Asia,35.69,5.53,360.24,329.98999999999995,262.44,114.62,840.54,485.8299999999999,772.99,418.28
